raw_name,canonical_name,status,confidence,notes
The Royal BVI Yacht Club,,pending,,
Club Nautique de Versoix CNV,,pending,,
NYYC,,pending,,
Société Nautique de Genève,,pending,,
Royal Yacht Squadron,,pending,,
New York Yacht Club,,pending,,
SNG Société Nautique de Genève,,pending,,
CNV,,pending,,
RVYC,,pending,,
REAL CLUB DE REGATAS DE CARTAGENA,,pending,,
NJK (Nyländska Jaktklubben),,pending,,
Club Nautique de Versoix,,pending,,
san diego,,pending,,
NEKA,,pending,,
NICS,,pending,,
Port Madison Yacht Club,,pending,,
Port Townsend,,pending,,
Seawanhaka Corinthian Yacht Club,,pending,,
RCN SANXENXO,,pending,,
Real Club Nautico de Sanxenxo,,pending,,
SDYC,,pending,,
Bayerischer Yacht-Club,,pending,,
Yacht Club Costa Smeralda,,pending,,
Stamford Yacht Club,,pending,,
RVicYC,,pending,,
Seawanhaka Corinthian,,pending,,
Seawanhaka Corinthian YC,,pending,,
Imperial Poona YC,,pending,,
Yacht Club de France,,pending,,
Seaview Yacht Club,,pending,,
Yacht Club Punta del Este,,pending,,
Royal Thames Yacht Club,,pending,,
Sea View Yacht Club,,pending,,
Wilson. Sea View Yacht Club,,pending,,
LLYC,,pending,,
FLEXISAIL BOAT CLUB,,pending,,
CIVIL SERVICE OFFSHORE RACING CLUB,,pending,,
ROYAL MARINE SAILING CLUB,,pending,,
BURGHFIELD YACHT CLUB,,pending,,
OFFSHORE CRUISING CLUB,,pending,,
National Firefly Assoc,,pending,,
Southampton University SC,,pending,,
Budworth SC (A),,pending,,
West Oxfordshire SC (B),,pending,,
South Staffordshire SC (A),,pending,,
Hollingworth Lake SC (A),,pending,,
Loughborough University SC,,pending,,
Toddbrook SC (A),,pending,,
West Lancashire YC (A),,pending,,
Ogston SC (A),,pending,,
Bath University SC (A),,pending,,
Bolton SC,,pending,,
BUSA D,,pending,,
NuT (B),,pending,,
Chase SC (A),,pending,,
Royal Windermere YC,,pending,,
Hollingworth Lake SC (B),,pending,,
Wish SC (A) Masters,,pending,,
Budworth SC (B) Masters,,pending,,
Midland SC (B),,pending,,
South Cerney SC,,pending,,
Warsash SC Masters,,pending,,
Bath University SC (B),,pending,,
Leigh,,pending,,
Lowton SC (A),,pending,,
BUSA SLaM (A),,pending,,
South Staffordshire SC (B),,pending,,
Poole YC,,pending,,
Neilson Masters,,pending,,
Midland SC (A),,pending,,
Lowton SC (B),,pending,,
Tynemouth SC,,pending,,
West Oxfordshire SC (A),,pending,,
St Mary's Loch SC,,pending,,
Budworth SC (D),,pending,,
Toddbrook SC (B),,pending,,
Southport SC,,pending,,
Draycote Water SC,,pending,,
Scammonden Water SC,,pending,,
Ogston SC (B),,pending,,
Budworth SC (C),,pending,,
Blackpool,,pending,,
Fleetwood YC,,pending,,
Banbury SC,,pending,,
Liverpool YC,,pending,,
Chase SC (B),,pending,,
NE,,pending,,
Yorks Youth SA,,pending,,
Crosby Marina Club,,pending,,
Trimpley SC,,pending,,
Winsford Flash SC,,pending,,
Sunderland YC (A),,pending,,
Rudyard Lake SC,,pending,,
Elton SC,,pending,,
BUSA SLaM (C),,pending,,
South Windermere SC,,pending,,
Dovestone SC,,pending,,
West Lancashire YC (B),,pending,,
Wish SC (B),,pending,,
Tudor SC,,pending,,
Royal Yachting Association,,pending,,
Hoylake SC,,pending,,
Royal Yorkshire YC,,pending,,
Solent University SC,,pending,,
Sefton Sea Cadets,,pending,,
DBSC,,pending,,
PEYC,,pending,,
Royal Tay,,pending,,
Burntisland,,pending,,
HISC,,pending,,
ASA,,pending,,
RNSA,,pending,,
Burghfield,,pending,,
Swanage,,pending,,
Port Dinorwic,,pending,,
Trearddur,,pending,,
Restronguet SC,,pending,,
East Lothian,,pending,,
Northampton,,pending,,
ELYC,,pending,,
Frensham Pond,,pending,,
Sutton,,pending,,
QMSC,,pending,,
Parkstone,,pending,,
Bassenthwaite,,pending,,
Lymington Town,,pending,,
Warsash,,pending,,
Rutland,,pending,,
NBYC,,pending,,
CCSC,,pending,,
OCSS,,pending,,
Cardiff Bay,,pending,,
Waldringfield,,pending,,
Orwell,,pending,,
Bough Beech,,pending,,
Rutland SC,,pending,,
WPNSA,,pending,,
Gunard,,pending,,
Frensham Pnd,,pending,,
WSC,,pending,,
Paignton,,pending,,
Trearddur Bay,,pending,,
Draycote Water,,pending,,
Yorkshire Dales,,pending,,
Queen,,pending,,
RTYC,,pending,,
Cindies,,pending,,
Hollowell,,pending,,
Lee on Solent,,pending,,
Lowton,,pending,,
Looe SC,,pending,,
Seaview,,pending,,
Royal Hospitals School,,pending,,
Abersoch SC,,pending,,
Looe,,pending,,
LLSC,,pending,,
Royal Natal,,pending,,
Bowmoor,,pending,,
Castle Semple SC,,pending,,
Bartley,,pending,,
Maidenhead,,pending,,
Holyhead,,pending,,
Scaling Dam,,pending,,
Datchet Water,,pending,,
SCYC,,pending,,
EDYC,,pending,,
Royal Prince Alfred YC,,pending,,
Notts County,,pending,,
Newcastle,,pending,,
King George,,pending,,
Walgringfield,,pending,,
Dittisham,,pending,,
Red,,pending,,
Bartley SC,,pending,,
Carsington,,pending,,
Chelmarsh,,pending,,
West Kirby,,pending,,
Toddbrook,,pending,,
RYS,,pending,,
RORC,,pending,,
RHADC,,pending,,
Island Sailing Club,,pending,,
GLANDORE,,pending,,
BSYC,,pending,,
BAYK,,pending,,
Marstrand Segelsälskap,,pending,,
NRV,,pending,,
Salcombe Yacht Club,,pending,,
Yacht Club La Baule.,,pending,,
Royal Forth Yacht Club,,pending,,
SNST,,pending,,
MEDWAY YC,,pending,,
Royal St George Yacht Club,,pending,,
Royal Forth YC,,pending,,
YC Cannes,,pending,,
Royal Lymington Y C,,pending,,
CCYC,,pending,,
Royal Hong Kong,,pending,,
Düsseldorfer Yachtclub,,pending,,
Bosham SC,,pending,,
Cowes Corinthian Yacht Club,,pending,,
YCRE,,pending,,
KNZRV Muiden,,pending,,
RHKYC,,pending,,
ROYAL THAMES YC,,pending,,
Medway Yacht Club,,pending,,
Aldeburgh,,pending,,
Royal Solent Yacht Club,,pending,,
RAF Yacht Club,,pending,,
CO32 Association,,pending,,
Hornet Services Sailing Club,,pending,,
UTSC,,pending,,
Keyhaven Yacht Club,,pending,,
Royal Southern Yacht Club,,pending,,
Royal Lymington Yacht Club,,pending,,
Folkboat Association,,pending,,
Lymington Town Sailing Club,,pending,,
Marchwood Yacht Club,,pending,,
Royal Cornwall Yacht Club,,pending,,
JPMorgan London YC,,pending,,
Royal Victoria Yacht Club,,pending,,
Brighton Marina Yacht Club,,pending,,
Lloyd's Yacht Club,,pending,,
Trent Offshore Group,,pending,,
Royal Naval Sailing Association,,pending,,
Royal Navy Sailing Association,,pending,,
Royal Lake of the Woods Yacht Club,,pending,,
Parkstone Yacht Club,,pending,,
,,pending,,
Cowes keelboat,,pending,,
Hill Head Sailing Club,,pending,,
PCYacht Club,,pending,,
AWYC,,pending,,
PCYC,,pending,,
London Corinthian Sailing Club,,pending,,
Unity Sailing,,pending,,
JOG,,pending,,
Whitby Yacht Club,,pending,,
Cove Sailing Club,,pending,,
Other,,pending,,
Christchurch Sailing Club,,pending,,
BBC Yacht Club,,pending,,
Little Ship Club,,pending,,
British Classic Yacht Club,,pending,,
N,,pending,,
A,,pending,,
Haven Ports Yacht Club,,pending,,
Emsworth Sailing Club,,pending,,
Royal Hamilton Amateur Dinghy Club,,pending,,
Royal Air Force Sailing Association,,pending,,
Gurnard Sailing Club,,pending,,
Army Sailing Association,,pending,,
Chichester Yacht Club,,pending,,
Itchenor SC,,pending,,
Hamble River Sailing Club,,pending,,
Rollesby Broad S.C.,,pending,,
RAF,,pending,,
HRSC,,pending,,
HWS,,pending,,
RSrnYC,,pending,,
Blackwater SC,,pending,,
Burnham SC,,pending,,
RBYC,,pending,,
RCYC,,pending,,
Corinthian Otters,,pending,,
Dabchicks,,pending,,
Waveney,,pending,,
Oulton Broad,,pending,,
RBSC,,pending,,
Stone SC,,pending,,
BSC,,pending,,
Dabchicks SC,,pending,,
Mengeham Rhythe SC,,pending,,
N Herts,,pending,,
EB Beds SC,,pending,,
Otters,,pending,,
Chipstead SC,,pending,,
TEYC,,pending,,
Royal Norfolk,,pending,,
Suffolk YC,,pending,,
Benfleet YC,,pending,,
Thorpe Bay YC,,pending,,
Benfleet,,pending,,
Creeksea SC,,pending,,
Waiheke Boating Club,,pending,,
West Mersea YC,,pending,,
ECOD Association,,pending,,
CISC,,pending,,
Hoo Ness,,pending,,
Great Moor,,pending,,
Kielder Water SC,,pending,,
Naivasha YC,,pending,,
Hayling Island SC,,pending,,
Lochaber YC,,pending,,
SWSC,,pending,,
Margate YC,,pending,,
Isle of Sheppey SC,,pending,,
Northampton SC,,pending,,
Lee on Solent SC,,pending,,
Combs SC,,pending,,
Ardleigh SC,,pending,,
WOBYC,,pending,,
RNSYC,,pending,,
HBSC,,pending,,
MBSC,,pending,,
Royal Temple Yacht Club,,pending,,
Hayling Is,,pending,,
Colne Yacht Club,,pending,,
Walton,,pending,,
Frinton YC,,pending,,
TSC,,pending,,
CRSC,,pending,,
Thames,,pending,,
LTSC,,pending,,
TVSC,,pending,,
SESCA,,pending,,
BYC,,pending,,
Oxford SC,,pending,,
Capable Planet,,pending,,
Glandore Harbour YC,,pending,,
Hornbaek,,pending,,
CNC Cascais,,pending,,
Royal Freshwater Bay YC,,pending,,
Royal North Sea YC,,pending,,
Bayerischer YC,,pending,,
KNZ,,pending,,
RV,,pending,,
Royal Torbay YC,,pending,,
Kinsale YC,,pending,,
Royal Motor YC,,pending,,
Royal St George YC,,pending,,
Yacht Club de Cannes,,pending,,
KWV de Kaag,,pending,,
Clube Naval de Cascais,,pending,,
Cowes Corinthian YC,,pending,,
Chew Valley SC,,pending,,
Club Nautico Arenal,,pending,,
SRD YC,,pending,,
Royal Irish YC,,pending,,
Royal Muiden YC,,pending,,
Royal Southern YC(RSrnYC),,pending,,
Liverpool University Sailing Club,,pending,,
Chase,,pending,,
Bass,,pending,,
Swarkestone SC,,pending,,
Yorkshire Dales SC,,pending,,
Elton,,pending,,
Bass SC,,pending,,
Blithfield,,pending,,
NCSC,,pending,,
The Chase Sailing Club,,pending,,
Hollingworth Lake,,pending,,
Combs Sailing Club,,pending,,
Chase sc,,pending,,
Shustoke SC,,pending,,
Sheffield Viking SC,,pending,,
South Shields SC,,pending,,
Bassenthwaite SC,,pending,,
Bassenthwaite-sc,,pending,,
Lowton S.C.,,pending,,
Teesdale Sailing Club,,pending,,
DOVESTONE S . C,,pending,,
Yardley,,pending,,
B,,pending,,
FYC,,pending,,
Bassenthwaite Sailing Club,,pending,,
f,,pending,,
Fleetwood,,pending,,
Blithfield Sailing Club,,pending,,
Bkackpool,,pending,,
Derwent Reservoir,,pending,,
WLYC,,pending,,
Base sc,,pending,,
Delph SC,,pending,,
WiSH sailing club,,pending,,
Budworth Sailing Club,,pending,,
West Riding SC,,pending,,
Dovestone,,pending,,
Rudyard,,pending,,
BFYC,,pending,,
Delph Sailing Club,,pending,,
Ullswater YC,,pending,,
Derwent Reservoir SC,,pending,,
Derwent Reservoir Sailing Club,,pending,,
Chase Sailing Club,,pending,,
Wigan,,pending,,
St Helens,,pending,,
Sheffield Viking Sailing Club,,pending,,
DRSC,,pending,,
Blithfield sc,,pending,,
Yorkshire Dales Sailing Club,,pending,,
Hunts,,pending,,
Rudyard Lake Sailing Club,,pending,,
Chasewater sc,,pending,,
Welbeck Sailing Club,,pending,,
Chipstead Sailing Club,,pending,,
Fleetwood Yacht Club,,pending,,
SYC,,pending,,
Craven SC,,pending,,
Delph,,pending,,
Bass S C,,pending,,
UYC,,pending,,
Island Barn Reservoir Sailing Club,,pending,,
PDSC,,pending,,
Aberdeen,,pending,,
Stonehaven YC,,pending,,
Sheffield Viking,,pending,,
Toddbrook SC,,pending,,
Ripon SC,,pending,,
RWBSWSC,,pending,,
NSSC,,pending,,
Ely,,pending,,
Royal Corinthian,,pending,,
Swarkestone sailing club,,pending,,
Swarkestone sailing  club,,pending,,
Bassenthwaite S.C,,pending,,
Ely SC,,pending,,
Bartley Green,,pending,,
Wish SC,,pending,,
RYA,,pending,,
Royal Norwegian Yacht Club,,pending,,
Parkstone YC,,pending,,
PYC,,pending,,
Royal Motor Yacht Club,,pending,,
Swanage Sc,,pending,,
Middle Nene Sailing Club,,pending,,
Beer Sailing Club,,pending,,
Salcombe,,pending,,
Poole Yacht Club,,pending,,
Scammonden Water Sailing Club,,pending,,
Dragon Bay Cayman islands,,pending,,
Starcross SC,,pending,,
Spinnaker,,pending,,
Middle Nene CC,,pending,,
Lake Yard,,pending,,
Stokes Bay,,pending,,
Middle Nene SC,,pending,,
Bewl Valley Sailing Association,,pending,,
RMYC,,pending,,
Lymington Town SC,,pending,,
Queen Mary,,pending,,
Wembley Sailing Club,,pending,,
North Lincs,,pending,,
Humberside Sailing Club,,pending,,
North Lincolnshire,,pending,,
Humberside,,pending,,
Beaver SC,,pending,,
HYC,,pending,,
RNIYC,,pending,,
QYC,,pending,,
NYC,,pending,,
Blessington SC,,pending,,
SLYC,,pending,,
CSC,,pending,,
SSC,,pending,,
Kilaloe SC,,pending,,
Netley SC,,pending,,
South of Perth YC,,pending,,
Hollingworth Lake SC,,pending,,
County Antrim YC,,pending,,
RCNPP,,pending,,
FFC,,pending,,
Winner YC,,pending,,
RFBYC,,pending,,
Royal Hong Kong YC,,pending,,
Chew Valley Lake SC,,pending,,
Ponsonby Cruising Club,,pending,,
Royal Akarana YC,,pending,,
Davey's Bay YC,,pending,,
Mordialloc SC,,pending,,
Davey's Bay,,pending,,
Starcross YC,,pending,,
Flying Fifteens Chonamara,,pending,,
National YC,,pending,,
Tewkesbury Cruising,,pending,,
Rickmansworth SC,,pending,,
Datchet Water SC,,pending,,
RNYC,,pending,,
Strangford Lough YC,,pending,,
Morecambe SC,,pending,,
Tewksbury SC,,pending,,
Geraldton YC,,pending,,
RAYC,,pending,,
SSANZ,,pending,,
Wanaka YC,,pending,,
Royal Goteborg,,pending,,
Saltspri,,pending,,
Parkstone Y C,,pending,,
Apollo Bay SC,,pending,,
Yacht Club Italiano,,pending,,
Gstaad Yacht Club,,pending,,
BHYC,,pending,,
RSrhYC,,pending,,
RLmYC,,pending,,
CYC,,pending,,
PMYC,,pending,,
Howth Yacht Club,,pending,,
Royal Cork Yacht Club,,pending,,
Royal Anglesey Yacht Club,,pending,,
Itchenor Sailing Club,,pending,,
Pwllheli Yacht Club,,pending,,
Royal Mersey Yacht Club,,pending,,
Royal Ulster Yacht Club,,pending,,
Royal Western Yacht Club,,pending,,
Bosham Sailing Club,,pending,,
Fairlie Yacht Club,,pending,,
CCC,,pending,,
ESC,,pending,,
L,,pending,,
LSC,,pending,,
MRSC,,pending,,
Island Barn SC,,pending,,
Bowmoor SC,,pending,,
0,,pending,,
NSC,,pending,,
ESSC,,pending,,
Felpham SC,,pending,,
Locks SC,,pending,,
Shoreham SC,,pending,,
West Kirby SC,,pending,,
Warsash SC,,pending,,
Whitstable YC,,pending,,
Carsington SC,,pending,,
Stokes Bay SC,,pending,,
TISC,,pending,,
